I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
204,4534,25,7,M,M,3,4,3,8,6,2,26,1,20,26,2,49,0,1,0,0,10,1,12,3,0,10,2,9,10,34
205,5217,22,8,M,M,5,2,0,4,0,0,11,0,14,27,0,41,0,0,4,0,0,10,14,4,6,4,0,1,0,15
206,6513,26,9,M,M,7,4,0,8,0,0,19,0,17,12,8,37,5,0,4,0,10,8,27,0,5,8,5,14,10,42
207,7383,28,8,M,M,8,1,4,2,0,4,19,0,13,28,9,50,10,7,0,0,10,10,37,7,0,3,10,13,10,43
208,7756,28,6,M,M,?,?,?,?,?,?,0,2,20,30,9,61,0,4,4,4,10,9,31,12,12,3,0,13,10,50
209,8869,20,9,M,M,4,4,4,8,8,4,32,0,16,18,9,43,0,1,3,0,4,7,15,12,0,6,2,3,0,23
210,9605,25,7,M,M,8,3,4,8,8,6,37,10,20,24,12,66,10,10,6,10,10,0,46,8,8,10,12,14,14,66
211,3406,22,9,M,M,3,0,4,3,0,0,10,0,2,0,1,3,5,1,0,0,0,1,7,5,0,0,0,0,7,12
212,702,28,7,M,M,8,2,4,8,6,4,32,1,15,17,9,42,6,2,0,0,3,0,11,2,6,2,0,3,7,20
213,1815,25,10,M,M,8,4,4,5,8,4,33,10,20,17,9,56,?,?,?,?,?,?,0,12,8,7,9,10,7,53
214,2747,40,6,M,F,8,2,4,8,5.5,6,33.5,0,20,15,5,40,0,4,0,0,9,0,13,3,0,0,5,4,7,19
215,4086,25,6,M,M,7,4,4,8,6,8,37,10,14,32,4,60,10,6,1,1,10,7,35,3,8,10,12,2,10,45
216,4589,25,7,M,M,7,2,4,8,8,8,37,2,20,24,9,55,6,1,10,0,10,10,37,10,0,7,6,14,10,47
217,5252,28,7,M,M,6,4,4,7,3.5,6,30.5,0,0,7,3,10,9,1,0,0,9,6,25,0,0,8,3,5,3,19
218,6546,20,9,M,M,8,4,0,6,0.5,5,23.5,0,17,27,7,51,0,0,0,0,0,0,0,2,0,0,2,5,7,16
219,7394,25,9,M,M,?,?,?,?,?,?,0,7,19,29,0,55,5,5,8,0,10,9,37,10,6,10,1,9,10,46
220,7904,22,8,M,M,5,4,0,2,0,4,15,2,20,5,4,31,0,5,3,0,2,5,15,8,0,0,0,1,7,16
221,9243,25,9,M,M,6,0,4,6,4,2,22,7,19,28,9,63,0,4,9,0,9,9,31,10,12,4,7,14,10,57
222,9662,28,6,M,M,7,3,4,8,7,8,37,6,16,29,6,57,10,10,3,0,10,9,42,2,6,2,0,9,10,29
223,726,28,7,M,M,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
224,746,26,8,M,M,0,3,0,6,6,4,19,0,17,15,3,35,0,5,6,0,0,2,13,1,0,3,6,6,10,26
225,1894,45,7,M,F,8,0,0,6,5,2,21,0,16,30,9,55,0,3,3,0,8,8,22,8,0,0,2,3,10,23
226,2782,24,10,M,F,8,2,0,8,4.5,0,22.5,0,14,0,2,16,0,6,0,0,0,0,6,8,0,5,2,5,7,27
227,4148,22,9,M,M,0,4,4,0,0,0,8,?,?,?,?,0,0,4,0,0,0,0,4,11,6,5,0,0,0,22
228,4629,40,8,M,M,5,2,4,6,7,3,27,1,20,29,9,59,0,4,0,0,9,4,17,0,12,7,9,2,7,37
229,5358,22,7,M,M,5,0,4,3,6,6,24,0,0,0,0,0,2,6,0,0,6,9,23,3,0,0,0,0,1,4
230,6557,25,7,M,F,3,3,0,7,7,4,24,0,14,30,9,53,2,5,1,0,5,9,22,1,0,6,0,1,7,15
231,7434,26,10,M,F,8,3,4,8,7,3,33,0,17,15,6,38,2,5,7,3,10,10,37,8,12,6,8,3,7,44
232,7937,28,6,M,M,6,1,4,8,7.5,4,30.5,6,16,10,9,41,0,6,3,0,10,7,26,12,2,10,12,10,14,60
233,9265,24,10,M,M,8,4,4,8,8,7,39,7,17,28,9,61,10,7,10,10,10,7,54,12,13,10,4,13,10,62
234,9673,25,10,M,F,6,0,0,7,6,4,23,0,16,13,6,35,10,6,4,0,10,2,32,4,6,10,4,5,10,39
235,49,20,6,M,M,6,0,2,7,5,5,25,1,20,20,9,50,0,1,1,0,9,0,11,2,6,4,8,5,7,32
236,781,25,9,M,M,8,0,0,3,6,4,21,0,17,8,1,26,1,0,3,0,2,7,13,6,0,1,4,10,10,31
237,1956,24,10,M,F,7,0,0,5,1,0,13,0,9,15,2,26,0,0,0,0,7,8,15,12,0,0,1,0,7,20
238,2941,45,6,M,M,7,0,0,8,0,2,17,0,4,4,0,8,?,?,?,?,?,?,0,10,0,4,0,0,7,21
239,4183,24,10,M,M,8,0,4,3,7,3,25,10,8,10,0,28,8,2,7,0,2,6,25,6,6,3,10,0,9,34
240,4726,25,7,M,M,4,3,0,6,0,2,15,0,17,23,6,46,0,3,2,0,10,7,22,1,0,10,9,14,7,41
241,5444,25,8,M,M,7,4,4,8,6,6,35,0,17,21,3,41,0,5,3,0,4,10,22,12,12,10,5,14,3,56
242,6619,22,10,M,M,6,1,0,8,6,3,24,0,8,15,3,26,7,0,0,0,7,7,21,0,6,1,6,7,7,27
243,7467,21,10,M,F,6,3,2,8,8,7,34,0,14,16,0,30,0,1,0,0,10,6,17,0,0,3,3,10,7,23
244,8117,21,6,M,M,4,1,4,3,6,1,19,0,15,14,9,38,0,4,2,0,9,9,24,3,0,10,1,3,0,17
245,9276,25,9,M,M,8,0,0,4,6,5,23,10,20,31,7,68,0,5,1,0,10,5,21,12,6,10,9,14,14,65
246,9768,25,6,M,M,3,1,0,2,3,2,11,0,9,19,2,30,0,1,1,0,8,0,10,8,0,6,0,9,7,30
247,73,24,6,M,F,4,4,0,2,5,0,15,1,17,9,2,29,0,7,0,1,0,7,15,0,0,3,4,5,8,20
248,984,25,7,M,M,6,2,0,8,8,4,28,0,17,10,5,32,0,6,3,0,9,6,24,0,2,10,1,14,7,34
249,2085,24,10,M,F,6,4,4,0,1,2,17,6,12,12,8,38,0,3,3,0,8,0,14,6,0,0,0,0,7,13
250,3035,20,9,M,M,7,1,4,8,6,2,28,1,20,24,9,54,0,0,0,0,0,0,0,10,0,9,9,8,9,45
251,4223,25,6,M,M,8,2,4,8,5,7,34,1,14,11,3,29,3,7,3,0,10,5,28,12,12,9,3,0,10,46
252,4759,28,7,M,M,4,3,0,8,4,4,23,1,20,32,5,58,5,3,0,0,10,3,21,0,0,10,5,2,10,27
253,5488,20,10,M,M,7,4,4,6,5,5,31,1,9,9,0,19,5,4,0,0,0,0,9,0,0,6,4,8,7,25
254,6632,26,10,M,M,5,4,4,8,8,7,36,0,18,17,9,44,0,0,0,0,1,0,1,8,0,3,4,1,0,16
255,7491,21,9,M,M,6,1,0,7,5,7,26,0,11,12,0,23,0,3,0,0,5,0,8,4,0,4,2,3,7,20
256,8128,20,7,M,M,7,3,0,3,5,4,22,1,16,16,2,35,2,1,0,0,9,9,21,5,0,5,4,14,9,37
257,9287,25,9,M,M,7,4,4,8,5,8,36,6,20,29,7,62,10,10,4,10,10,10,54,12,12,10,12,9,14,69
258,9808,28,9,M,M,0,4,3,2,4,2,15,0,20,23,9,52,0,8,0,0,10,8,26,10,0,10,5,13,14,52
259,157,28,6,M,M,3,0,4,6,7,3,23,?,?,?,?,0,0,1,0,0,10,4,15,12,0,5,3,8,7,35
260,1118,20,8,M,F,5,3,0,6,5,6,25,2,14,6,9,31,0,3,6,0,10,2,21,5,0,5,1,14,10,35
261,2136,45,7,M,F,6,0,0,8,0,2,16,0,10,22,9,41,0,6,0,0,9,8,23,0,12,3,0,11,10,36
262,3216,25,7,M,M,5,2,4,5,0,6,22,0,6,7,4,17,0,0,0,5,0,0,5,5,0,5,1,4,7,22
263,4318,25,9,M,M,8,4,4,8,7,7,38,7,17,32,9,65,6,7,7,7,10,9,46,6,6,10,9,14,10,55
264,4878,20,8,M,M,8,3,4,3,6,6,30,10,16,28,9,63,8,3,3,2,0,7,23,12,0,10,5,9,10,46
265,5693,28,10,M,F,8,4,4,8,8,8,40,10,20,16,9,55,10,7,5,9,10,3,44,5,12,3,11,14,9,54
266,6749,25,10,M,M,6,1,0,8,8,4,27,1,17,32,4,54,0,0,0,0,0,0,0,0,5,6,1,0,7,19
267,7518,25,8,M,M,7,4,4,8,5,6,34,1,19,28,5,53,10,7,7,0,10,10,44,12,0,10,7,4,10,43
268,8247,26,7,M,M,2,0,0,3,0,4,9,9,20,21,6,56,5,3,3,0,0,9,20,3,0,10,4,10,10,37
269,9316,25,7,M,M,?,?,?,?,?,?,0,6,20,31,9,66,2,4,5,5,10,10,36,4,14,10,4,5,10,47
270,66,28,8,M,M,6,4,4,6,6,5,31,1,17,25,8,51,0,1,1,0,10,7,19,6,6,10,1,12,10,45
271,168,25,6,M,M,6,4,4,8,6,3,31,6,14,25,7,52,0,5,3,1,10,10,29,0,2,10,12,11,10,45
272,1131,20,10,M,M,6,4,4,3,7,7,31,0,14,23,0,37,3,7,0,0,10,9,29,0,0,0,0,4,10,14
273,2299,26,9,M,F,8,3,4,8,7,4,34,5,20,31,2,58,5,3,3,1,10,6,28,12,0,10,1,14,10,47
274,3392,20,8,M,M,8,0,4,6,0,4,22,0,18,29,9,56,0,0,6,4,0,9,19,8,12,4,0,2,8,34
275,4329,24,9,M,M,8,2,0,3,0,6,19,10,6,11,1,28,8,10,3,6,10,7,44,12,6,7,0,1,10,36
276,4891,28,10,M,M,8,1,4,6,6.5,7,32.5,10,17,30,9,66,9,4,3,5,10,0,31,12,8,10,12,6,10,58
277,5744,25,8,M,M,5,2,0,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,6773,25,8,M,M,8,2,0,8,8,6,32,0,14,16,9,39,10,9,9,0,10,9,47,10,6,10,4,8,8,46
279,7542,20,9,M,M,7,4,4,8,0,7,30,0,20,29,9,58,10,3,0,0,9,9,31,8,6,7,12,9,7,49
280,8269,26,6,M,M,7,4,0,6,5,2,24,0,19,23,3,45,0,4,0,0,10,6,20,0,0,10,9,7,10,36
281,9327,25,7,M,M,7,2,4,8,0,8,29,10,20,30,9,69,0,0,0,5,0,9,14,5,12,10,6,14,10,57
282,106,20,6,M,F,4,4,0,5,5,2,20,0,20,22,9,51,?,?,?,?,?,?,0,12,0,7,6,12,10,47
283,181,26,7,M,M,1,3,4,7,5.5,4,24.5,1,14,15,0,30,0,1,5,1,4,9,20,2,0,8,6,14,7,37
284,1153,22,7,M,M,0,0,4,0,0,2,6,0,17,19,9,45,1,4,1,0,9,5,20,1,0,3,5,10,8,27
285,2306,26,7,M,F,7,4,0,8,5,6,30,0,20,7,9,36,0,7,3,0,10,9,29,10,0,10,12,3,7,42
286,3635,20,8,M,M,0,0,4,0,1,0,5,1,12,14,0,27,?,?,?,?,?,?,0,?,?,?,?,?,?,0
287,4353,25,9,M,M,8,4,4,8,8,7,39,5,20,32,9,66,9,5,8,10,10,10,52,10,12,6,9,14,14,65
288,4931,20,7,M,M,7,3,4,8,6,8,36,8,17,30,5,60,?,?,?,?,?,?,0,12,0,8,8,12,10,50
289,5755,26,10,M,M,7,3,2,7,6,3,28,1,14,16,5,36,0,4,3,0,10,7,24,0,0,5,8,6,11,30
290,6892,25,6,M,F,8,3,4,8,8,2,33,0,17,23,9,49,0,3,6,0,9,8,26,7,6,10,5,10,10,48
291,7553,20,6,M,M,6,4,4,5,4,4,27,0,0,0,9,9,2,5,0,0,7,10,24,10,0,10,0,4,0,24
292,8271,28,8,M,M,7,4,4,8,6,8,37,0,12,22,9,43,4,9,5,2,0,5,25,12,12,4,1,11,10,50
293,9338,25,9,M,M,8,1,0,8,6,4,27,0,13,29,9,51,3,0,10,7,10,9,39,8,12,10,6,14,10,60
294,117,20,8,M,M,6,3,0,6,1,2,18,1,20,23,9,53,0,2,4,0,9,8,23,0,0,6,5,6,3,20
295,192,25,7,M,F,6,4,0,6,0,4,20,1,15,29,2,47,0,1,3,0,10,4,18,0,0,6,6,3,10,25
296,1323,24,6,M,M,?,?,?,?,?,?,0,0,19,21,9,49,10,6,1,5,8,0,30,5,5,4,0,11,7,32
297,2339,40,9,M,F,6,3,0,8,7,5,29,0,20,19,9,48,0,1,0,0,9,9,19,8,0,0,6,14,10,38
298,3862,28,8,M,M,2,4,4,2,0,0,12,0,20,5,4,29,0,5,3,4,9,5,26,12,12,5,10,12,10,61
299,4404,45,6,M,M,8,4,4,8,6,4,34,1,20,16,9,46,0,6,7,0,10,3,26,12,6,10,9,14,10,61
300,4942,25,8,M,M,8,4,4,8,8,7,39,10,17,32,11,70,?,?,?,?,?,?,0,10,13,10,6,14,10,63
301,6019,45,6,M,M,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
302,6932,26,10,M,M,6,4,4,3,1,3,21,0,10,12,9,31,2,5,1,10,7,5,30,2,0,7,1,2,7,19
303,7626,20,7,M,M,8,4,4,8,6,2,32,0,14,14,9,37,0,2,0,0,9,0,11,12,12,7,11,10,8,60
304,8355,25,10,M,M,1,1,0,8,0,2,12,0,11,21,1,33,0,2,3,0,4,5,14,2,0,3,4,5,7,21
305,9384,25,6,M,M,6,0,4,8,2,4,24,10,20,31,4,65,10,2,10,6,10,9,47,8,9,10,9,14,10,60
306,247,25,9,M,M,3,2,0,4,0,2,11,1,19,16,0,36,0,2,1,0,2,0,5,7,0,6,2,5,0,20
307,254,45,9,M,F,5,4,0,8,6,8,31,1,10,16,6,33,0,0,0,0,0,0,0,1,0,5,1,3,0,10
308,1391,25,6,M,M,8,4,4,8,8,8,40,10,16,30,9,65,10,9,8,7,10,10,54,12,12,10,12,14,14,74
309,2458,24,10,M,F,4,3,0,3,1,2,13,0,2,7,1,10,0,6,6,0,7,9,28,12,0,3,2,4,7,28
310,3935,45,6,M,M,5,4,3,0,0.5,3,15.5,0,14,27,0,41,0,3,0,0,1,0,4,0,0,5,0,2,7,14
311,4415,25,7,M,M,6,0,0,8,7,4,25,0,18,27,2,47,10,0,0,0,9,7,26,10,0,10,9,0,7,36
312,5003,25,10,M,M,8,4,4,8,7.5,8,39.5,10,20,32,4,66,10,9,6,0,10,9,44,12,12,10,12,14,10,70
313,6116,21,8,M,M,8,3,0,6,5,2,24,7,14,20,3,44,0,0,1,0,10,0,11,3,0,3,2,13,7,28
314,7191,26,8,M,F,4,3,0,4,1,5,17,0,15,14,1,30,7,1,0,0,0,7,15,12,0,3,0,2,7,24
315,7648,20,9,M,M,2,0,4,5,5,2,18,0,19,27,4,50,5,4,1,0,10,9,29,10,0,10,5,13,9,47
316,8439,21,10,M,M,6,1,0,8,6,2,23,1,19,27,9,56,0,4,1,0,10,5,20,0,0,7,3,2,7,19
317,9395,25,10,M,M,0,0,0,0,0,0,0,0,19,12,9,40,0,3,0,0,5,2,10,0,0,6,5,7,7,25
318,322,25,9,M,M,8,4,4,5,7,5,33,1,20,27,9,57,0,0,7,6,8,7,28,12,6,10,12,14,7,61
319,821,45,14,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
320,113,21,12,M,F,4,2,4,8,6,2,26,0,14,15,1,30,0,0,3,0,5,2,10,6,0,4,0,12,3,25
321,1407,28,14,M,M,8,4,4,8,6,8,38,1,20,19,9,49,0,10,6,0,10,7,33,8,6,6,6,11,10,47
322,2041,24,14,M,F,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,0,0,0,0,5,0,3,0,0,0,8
323,2696,28,11,M,F,6,3,4,8,7.5,4,32.5,1,17,25,9,52,?,?,?,?,?,?,0,10,0,5,1,9,10,35
324,4115,21,12,M,M,4,1,3,5,5,2,20,0,14,21,7,42,10,4,10,0,7,7,38,7,12,2,4,5,7,37
325,4812,20,15,M,M,2,4,0,7,0,2,15,1,8,26,2,37,6,4,0,0,8,9,27,10,12,2,6,5,10,45
326,5841,20,13,M,M,0,2,4,6,0,6,18,1,20,24,9,54,0,2,3,0,10,9,24,12,0,10,5,10,7,44
327,6621,28,13,M,M,8,4,4,8,6,6,36,10,20,27,9,66,10,5,1,5,1,6,28,5,6,10,8,13,10,52
328,7304,26,13,M,M,4,4,0,8,6,4,26,1,14,27,9,51,6,4,5,0,10,10,35,0,2,10,0,0,7,19
329,8503,27,13,M,M,7,4,0,4,7,2,24,0,10,12,2,24,0,5,2,0,8,6,21,0,12,5,1,0,10,28
330,9479,22,11,M,M,8,4,4,4,8,4,32,0,18,25,7,50,10,7,7,8,10,9,51,6,12,3,5,0,10,36
331,455,27,13,M,M,0,0,0,0,0,4,4,1,3,6,1,11,0,0,0,0,2,0,2,0,0,0,0,0,0,0
332,208,26,13,M,F,2,3,0,7,8,3,23,0,11,5,7,23,0,4,0,0,2,2,8,0,0,0,1,1,0,2
333,1431,28,11,M,M,6,4,4,1,0,6,21,10,19,32,12,73,10,10,4,0,10,9,43,4,2,10,11,13,10,50
334,2158,24,12,M,F,8,2,4,5,6,4,29,0,18,9,2,29,0,2,1,1,6,7,17,12,0,10,2,4,2,30
335,2703,40,12,M,F,6,4,4,8,8,6,36,10,20,32,10,72,?,?,?,?,?,?,0,12,12,10,6,14,10,64
336,4161,28,13,M,M,7,3,0,3,5,6,24,2,10,30,7,49,1,2,0,0,6,8,17,2,10,7,2,12,7,40
337,5047,27,15,M,M,5,3,0,4,6,8,26,0,14,6,9,29,0,4,0,1,7,10,22,5,0,9,4,7,7,32
338,5936,27,14,M,M,4,3,0,0,0,0,7,0,15,15,3,33,0,2,7,0,0,2,11,0,0,4,0,0,5,9
339,6643,20,13,M,M,7,4,0,8,6,6,31,0,19,17,9,45,5,1,5,0,9,4,24,0,8,3,2,3,1,17
340,7712,25,11,M,M,8,4,0,6,6,4,28,10,20,30,9,69,?,?,?,?,?,?,0,0,6,10,9,14,10,49
341,8547,25,14,M,M,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
342,9521,40,12,M,M,8,0,4,5,2,8,27,0,14,17,8,39,9,6,7,2,7,10,41,0,0,3,0,7,12,22
343,4949,22,15,M,M,0,0,4,5,0,0,9,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
344,446,28,15,M,M,4,1,4,5,8,0,22,0,17,32,9,58,5,3,7,0,0,9,24,10,0,10,4,1,7,32
345,1453,28,15,M,M,8,3,4,8,5,6,34,0,18,17,4,39,10,1,7,0,10,8,36,10,0,3,3,7,10,33
346,2374,25,15,M,F,3,0,0,8,0,0,11,0,15,21,9,45,0,4,4,0,10,0,18,0,12,10,6,14,2,44
347,2928,22,13,M,M,8,0,4,8,6,6,32,10,14,21,0,45,4,8,8,7,0,3,30,4,0,1,1,5,0,11
348,4212,40,14,M,M,8,0,4,5,6,8,31,10,16,24,4,54,10,8,6,6,10,10,50,10,5,10,6,13,10,54
349,5058,25,12,M,M,6,4,4,0,0,0,14,0,0,0,0,0,1,3,3,0,0,5,12,12,0,5,1,0,7,25
350,6076,28,11,M,M,6,1,0,4,7,6,24,1,20,2,6,29,0,7,5,0,7,6,25,10,0,7,4,10,10,41
351,6676,28,13,M,M,?,?,?,?,?,?,0,10,20,28,9,67,7,8,0,0,10,10,35,8,0,7,12,14,10,51
352,7734,25,11,M,M,?,?,?,?,?,?,0,10,20,38,9,77,5,5,8,4,10,10,42,12,8,10,12,13,14,69
353,8571,25,11,M,M,4,2,0,8,7,4,25,10,20,30,9,69,10,7,7,0,10,9,43,8,12,10,7,4,7,48
354,9532,28,11,M,M,?,?,?,?,?,?,0,0,20,9,9,38,0,4,2,0,8,0,14,3,0,8,3,8,7,29
355,5594,24,14,M,M,6,2,0,7,3,7,25,10,20,29,1,60,6,1,4,0,10,4,25,5,0,5,1,8,0,19
356,457,21,11,M,F,8,3,4,8,6,3,32,0,14,9,5,28,0,5,7,0,10,5,27,8,12,0,0,0,7,27
357,1486,20,13,M,M,8,4,4,8,8,8,40,1,20,32,10,63,5,10,7,7,10,0,39,12,0,10,7,14,10,53
358,2396,25,15,M,F,7,3,0,4,2,6,22,0,17,15,9,41,10,5,8,0,10,9,42,5,12,10,8,5,2,42
359,3132,40,13,M,M,1,4,4,4,6,4,23,1,20,28,9,58,7,3,1,0,3,8,22,10,0,6,6,8,10,40
360,4234,26,14,M,M,8,4,4,8,5.5,4,33.5,0,20,27,6,53,?,?,?,?,?,?,0,0,6,0,1,7,10,24
361,5111,26,15,M,M,8,1,2,8,6,2,27,7,8,2,0,17,10,8,8,0,9,1,36,1,5,10,12,11,7,46
362,6098,40,11,M,F,6,3,0,8,6,5,28,0,15,7,2,24,0,1,0,0,0,2,3,10,0,10,0,5,7,32
363,6705,25,14,M,M,8,4,4,8,7,8,39,6,20,25,4,55,0,9,1,8,10,5,33,5,0,10,0,14,10,39
364,7829,40,11,M,M,8,3,4,8,8,8,39,10,20,27,9,66,10,10,9,1,10,0,40,0,6,10,9,14,10,49
365,8655,26,15,M,M,4,4,0,2,1,5,16,0,12,23,9,44,0,1,0,6,10,8,25,3,0,1,6,4,10,24
366,9576,28,11,M,M,8,4,0,2,8,6,28,10,20,29,9,68,6,10,9,8,10,9,52,8,14,4,7,14,14,61
367,9358,24,13,M,M,8,4,0,8,0,0,20,0,17,11,1,29,0,2,3,0,9,3,17,0,6,0,2,5,0,13
368,605,20,14,M,F,4,4,0,3,0,4,15,0,0,0,0,0,0,1,0,0,0,2,3,?,?,?,?,?,?,0
369,1504,25,12,M,M,8,0,4,6,8,5,31,0,20,28,12,60,10,0,2,4,9,2,27,8,0,10,5,13,10,46
370,2414,24,11,M,F,4,0,0,1,0,0,5,1,12,4,5,22,2,4,3,0,9,7,25,0,0,2,5,6,7,20
371,3205,27,11,M,M,8,0,4,6,0.5,2,20.5,0,17,22,8,47,0,1,3,0,1,10,15,12,0,10,0,3,7,32
372,4267,40,12,M,M,8,4,4,8,6.5,6,36.5,6,20,24,7,57,0,3,0,0,0,0,3,12,6,10,10,13,10,61
373,5144,20,13,M,M,4,4,1,8,6,4,27,1,12,5,9,27,0,3,3,0,10,8,24,1,12,9,5,4,9,40
374,6127,26,14,M,M,6,2,4,1,6,4,23,1,14,24,9,48,5,3,1,0,0,7,16,8,0,10,6,4,10,38
375,6738,26,12,M,M,7,4,4,5,6,3,29,6,20,21,4,51,0,8,0,0,10,7,25,5,6,10,8,5,10,44
376,8044,45,14,M,F,8,2,0,8,7,4,29,6,16,20,9,51,5,5,2,9,9,9,39,10,0,9,5,10,2,36
377,8666,26,14,M,F,1,0,0,3,0,2,6,0,7,12,9,28,0,10,0,0,7,0,17,10,0,4,0,2,7,23
378,9865,28,11,M,M,8,4,0,7,6,3,28,1,11,8,1,21,0,4,0,0,0,7,11,10,12,7,3,3,3,38
379,9371,26,13,M,M,3,1,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8
380,779,27,15,M,M,4,2,4,5,0,4,19,1,17,17,9,44,0,4,3,1,4,8,20,12,0,3,4,5,7,31
381,1526,28,15,M,M,6,4,0,8,8,6,32,10,20,29,9,68,?,?,?,?,?,?,0,12,6,4,12,7,10,51
382,2511,24,13,M,F,8,0,0,6,0,3,17,0,14,10,9,33,0,2,2,0,9,10,23,6,0,0,6,8,10,30
383,3273,45,15,M,M,8,0,4,6,2,2,22,0,14,11,0,25,9,1,6,0,0,10,26,2,0,6,7,4,10,29
384,4289,20,13,M,M,6,0,4,6,2,4,22,1,18,22,7,48,10,8,7,0,9,5,39,10,0,2,8,12,7,39
385,5166,20,15,M,M,8,4,0,2,8,3,25,0,12,10,6,28,0,3,0,0,1,1,5,10,0,7,0,0,7,24
386,6162,27,11,M,M,8,4,0,8,6.5,2,28.5,0,10,10,9,29,0,6,0,0,10,9,25,1,0,2,1,1,7,12
387,6762,40,15,M,M,8,3,0,7,6,3,27,0,8,9,5,22,0,5,2,0,8,4,19,6,0,8,10,0,7,31
388,8055,26,14,M,F,8,4,4,5,1,7,29,1,13,17,0,31,0,4,4,0,7,10,25,8,0,5,3,8,7,31
389,8728,40,11,M,M,8,4,0,7,6,4,29,0,17,20,2,39,6,4,3,0,9,9,31,2,2,9,4,7,11,35
390,9876,45,14,M,M,6,4,4,6,0,5,25,0,8,8,1,17,0,2,0,0,9,2,13,8,12,6,5,12,8,51
391,9455,22,13,M,M,?,?,?,?,?,?,0,0,4,9,0,13,5,1,3,0,0,2,11,?,?,?,?,?,?,0
392,792,28,12,M,M,8,4,0,5,8,8,33,0,18,21,9,48,5,2,4,0,10,9,30,8,0,9,5,12,10,44
393,1561,28,14,M,M,6,4,4,7,7,6,34,1,19,21,9,50,0,5,4,0,9,10,28,12,0,7,12,13,14,58
394,2533,40,12,M,F,8,3,0,4,5,2,22,0,18,29,2,49,?,?,?,?,?,?,0,5,0,10,9,2,10,36
395,3295,28,14,M,M,8,0,4,4,0,4,20,10,20,31,9,70,0,6,9,0,8,9,32,8,11,10,4,14,10,57
396,4291,26,13,M,M,4,0,2,2,0,3,11,0,13,7,6,26,5,4,0,0,0,6,15,2,0,4,0,1,7,14
397,5517,40,15,M,M,8,4,4,8,6,5,35,0,19,12,9,40,0,3,1,0,0,7,11,0,0,6,9,9,7,31
398,6173,40,14,M,M,8,4,4,4,7,4,31,10,19,29,9,67,10,9,9,6,10,10,54,0,3,6,0,13,10,32
399,6921,27,11,M,M,6,2,3,2,0,1,14,0,10,25,4,39,0,3,1,0,10,6,20,12,0,5,3,2,7,29
400,8309,26,11,M,F,4,2,4,2,4.5,4,20.5,0,13,5,3,21,0,4,1,0,7,4,16,10,0,6,2,9,4,31
401,8814,40,12,M,M,8,4,0,8,8,7,35,10,19,30,3,62,?,?,?,?,?,?,0,0,0,10,4,11,0,25
402,9951,28,14,M,M,8,4,0,4,6,4,26,0,12,24,3,39,4,5,3,2,10,8,32,3,0,10,2,10,10,35
403,1047,49,12,M,F,6,4,4,6,6,4,30,1,16,21,9,47,0,3,4,0,10,5,22,12,8,10,12,4,14,60
404,808,40,15,M,M,8,0,4,8,6,8,34,0,18,13,1,32,5,4,3,0,0,5,17,12,6,0,8,0,5,31
405,1612,45,12,M,M,4,1,0,2,0,0,7,0,7,15,4,26,4,6,0,0,0,6,16,3,0,6,1,2,7,19
406,2544,28,14,M,F,8,4,4,8,6,6,36,0,18,21,0,39,10,10,7,6,10,7,50,1,7,7,6,14,12,47
407,3379,28,14,M,M,8,4,4,5,0,6,27,1,19,20,9,49,10,7,1,0,9,9,36,0,12,9,4,5,10,40
408,4397,25,13,M,M,8,4,4,8,8,7,39,10,18,30,9,67,10,8,7,1,10,10,46,12,12,10,12,14,14,74
409,5671,40,15,M,F,8,2,0,8,1,0,19,0,10,12,0,22,10,9,5,0,0,7,31,0,0,5,0,10,0,15
410,6224,26,11,M,M,7,0,2,8,6,0,23,1,19,11,2,33,0,5,0,0,0,0,5,6,0,10,1,1,0,18
411,6965,25,14,M,M,8,0,0,8,6,8,30,1,16,25,3,45,0,1,9,0,9,9,28,5,0,10,9,14,10,48
412,8344,20,12,M,M,5,3,2,8,5,5,28,1,13,20,2,36,0,4,0,4,9,5,22,0,0,2,4,0,7,13
413,8825,24,12,M,M,7,4,4,7,8,8,38,6,15,29,9,59,10,10,7,0,10,9,46,12,13,5,12,10,14,66
414,22,28,14,M,M,5,0,0,8,0,1,14,0,15,15,3,33,1,3,5,0,9,10,28,0,0,5,6,6,10,27
415,1067,49,13,M,F,0,0,4,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
